country,year,positive,examined,long,lat,utm_x,utm_y
Botswana,2015,0,68,21.7769813,-24.1084742,-31.286184646636247,7323.853953500232
Botswana,2015,0,50,25.4680136,-24.4035375,344.6574765790624,7300.236878784331
Botswana,2015,0,45,24.96724167,-25.75854333,296.1254143301402,7149.483392785492
Botswana,2015,18,50,25.22378833,-17.90159833,311.83695044654553,8019.804463877764
Botswana,2015,0,51,25.0385112,-24.1088067,300.63683667054335,7332.332668595832
Botswana,2015,0,50,26.4493814,-24.6036885,444.25977333393195,7278.822584224323
Botswana,2015,0,42,23.4265553,-19.9822068,125.96989078236267,7786.498200462153
Botswana,2015,0,42,25.4758331,-25.1039031,346.3146736888997,7222.679740590541
Botswana,2015,0,48,28.82730833,-21.81929167,688.877671315864,7586.054977113766
Botswana,2015,0,49,24.56497333,-25.76842833,255.78637075619113,7147.703915003602
Botswana,2015,0,37,28.4305,-21.97628,647.6930836993434,7569.108448743947
Botswana,2015,0,53,25.97145,-24.65493,395.91764776776904,7272.870738706785
Botswana,2015,0,50,27.22032,-20.1274729,523.0280584713652,7774.397203335672
Botswana,2015,0,50,22.33327167,-20.381585,12.611936839381407,7739.368116164573
Botswana,2015,0,45,27.266974,-20.7994039,527.7832684440444,7700.0296358761825
Botswana,2015,0,43,25.8534263,-24.2438492,383.59636864094523,7318.297236217417
